Title,Price,Rating,Image,Type,URL
"5Pcs Ninja Turtle Action Figures Set with Weapons, Green Mutant Turtle Toys for Kids, Collectible Fighting Figures Playset, Durable Plastic Gift Toy for Boys & Girls (Ages 3+) Random",₹849,No rating,https://m.media-amazon.com/images/I/61waS4epa+L._AC_UL320_.jpg,Organic,https://amazon.in/SHAKTISM-Ninja-Turtle-Action-Set/dp/B0GJKV2GFG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-1
Playmates - TMNT: Mutant Mayhem - Michaelangelo Basic Figure,₹990,4.7/5,https://m.media-amazon.com/images/I/61JphuDEqqL._AC_UL320_.jpg,Organic,https://amazon.in/Playmates-Mutant-Mayhem-Michaelangelo-Figure/dp/B0BKHB8KWT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-2
Playmates - TMNT: Mutant Mayhem - Raphael Basic Figure,₹990,4.7/5,https://m.media-amazon.com/images/I/61x84wsCyrL._AC_UL320_.jpg,Organic,https://amazon.in/Playmates-Mutant-Mayhem-Raphael-Figure/dp/B0BKH93XYK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-3
Teenage Mutant Ninja Turtles Playmates - Tmnt: Mutant Mayhem - Leonardo Basic Figure,₹945,4.8/5,https://m.media-amazon.com/images/I/614NlzqVFYL._AC_UL320_.jpg,Organic,https://amazon.in/Playmates-Mutant-Mayhem-Leonardo-Figure/dp/B0BKH84VDB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-4
Blue Aura Cartoon Turtle Action Figures Set of 4 Toy Figurines PVC Multicolour Height -8CM | Turtle ML,₹695,No rating,https://m.media-amazon.com/images/I/61k+w9pGnpL._AC_UL320_.jpg,Organic,https://amazon.in/Blue-Aura-Figures-Figurines-Multicolour/dp/B0DK3DMQQ7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-5
Teenage Mutant Ninja Turtles Heros in a Half-Shell 1: v. 1,₹195,4.4/5,https://m.media-amazon.com/images/I/81j8N4V4pIL._AC_UL320_.jpg,Organic,https://amazon.in/Teenage-Mutant-Ninja-Turtles-Half-Shell/dp/187979442X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-6
Playmates - Teenage Mutant Ninja Turtles: Mutant Mayhem - Donatello Basic Figure (TMNT),₹795,4.8/5,https://m.media-amazon.com/images/I/617KVZTAQ2L._AC_UL320_.jpg,Organic,https://amazon.in/Playmates-Mutant-Mayhem-Donatello-Figure/dp/B0BKHBQJKN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-7
Asian Paints Wall Ons Original TMNT 'XXL' Wall Decal - 'Attack Mode' DIY Removable Peel and Stick Wall Sticker - 'Covers H 2.4 ft x W 5.1 ft on The Wall' Kids Room Décor,₹123.08,4.7/5,https://m.media-amazon.com/images/I/81VqSaa+s4L._AC_UL320_.jpg,Organic,https://amazon.in/Asian-Paints-Wall-Original-Decal/dp/B07FZ4Z3V3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-8
Hasbro Gaming Hungry Hungry Hippos: Teenage Mutant Ninja Turtles Edition Game | Ages 4 and Up | 2 to 4 Players | Kids Board Games | Gifts for Preschoolers,₹964,4.2/5,https://m.media-amazon.com/images/I/913ag9kQWcL._AC_UL320_.jpg,Organic,https://amazon.in/Hasbro-Gaming-Hungry-Hippos-Preschoolers/dp/B0D94VG7H3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-9
Blue Aura Cartoon Turtle Action Figures Set of 4 Toy Combo Figurines PVC Multicolour Height - 7CM| Turtle Set of 4,₹741,5.0/5,https://m.media-amazon.com/images/I/61ch6WL7TYL._AC_UL320_.jpg,Organic,https://amazon.in/Blue-Aura-Figures-Figurines-Multicolour/dp/B0DH2QSLJM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.XbeKwNK4sbohJTV9cpU_A5s7tFYLpoSNsO-6qlkvMW52QTcf4Hr5d73WCVOuQitJK9PoPvTlpZjp_cDqxbRlIV1SvSiLDnR5G50SMMwiN6KyKisLseTba0HKwGXZKIgy7aKslvRmuiRuho47_uqubP_6VvVGMhdb0kFn2XcKkuBRJ1rjhC0xbVxPpUSRKpP0rFS3zIsBnYBuSLyNSjEVo-Ug6SVr4QIfjVjzhD0QZN2ypftPo3eHsCmFWYP_DUCU5DkLM3rAQT5kK9qs-IAsEv4J69DMah0o9J_UPTBtN7Q.6tyav2_o-MpSPlBjWFA4YTGGFShqx1Z88P551BcDqYc&dib_tag=se&keywords=Ninja+turtles&qid=1770745963&sr=8-10
